Study,SampleIdentifier,SiteCode,SiteCodeDM,Plot,Replicate,Layer,SamplingYear,Disturbance,DevStage,DevStageDM,StandAge2017,DisturbanceType,Latitude,Longitude,SiteName,SiteNameDM,pH,TOC_gkg,TN_gkg
Chronosequence,GA-20170705-F-1L,GA,1,s1,1,B,2017,Fire,Establishment,R,12,,49.766218,-89.891251,GardenLakeA,Garden Lk A,5.52,431.38,11.67
Chronosequence,GA-20170705-F-2L,GA,1,s1,2,B,2017,Fire,Establishment,R,12,,49.766218,-89.891251,GardenLakeA,Garden Lk A,5.52,431.38,11.67
Chronosequence,GA-20170705-F-3L,GA,1,s1,3,B,2017,Fire,Establishment,R,12,,49.766218,-89.891251,GardenLakeA,Garden Lk A,5.52,431.38,11.67
Chronosequence,GA-20170705-F-1M,GA,1,s1,1,M,2017,Fire,Establishment,R,12,,49.766218,-89.891251,GardenLakeA,Garden Lk A,5.85,18.12,0.92
Chronosequence,GA-20170705-F-2M,GA,1,s1,2,M,2017,Fire,Establishment,R,12,,49.766218,-89.891251,GardenLakeA,Garden Lk A,5.85,18.12,0.92
Chronosequence,GA-20170705-F-3M,GA,1,s1,3,M,2017,Fire,Establishment,R,12,,49.766218,-89.891251,GardenLakeA,Garden Lk A,5.85,18.12,0.92
Chronosequence,GA-20170705-F-2F,GA,1,s1,2,O,2017,Fire,Establishment,R,12,,49.766218,-89.891251,GardenLakeA,Garden Lk A,6.1,289.45,11.26
Chronosequence,GA-20170705-F-3F,GA,1,s1,3,O,2017,Fire,Establishment,R,12,,49.766218,-89.891251,GardenLakeA,Garden Lk A,6.1,289.45,11.26
Chronosequence,GB-20170705-F-1L,GB,2,s2,1,B,2017,Fire,Establishment,R,12,,49.727046,-89.919259,GardenLakeB,Garden Lk B,5.75,427.57,13.31
Chronosequence,GB-20170705-F-2L,GB,2,s2,2,B,2017,Fire,Establishment,R,12,,49.727046,-89.919259,GardenLakeB,Garden Lk B,5.75,427.57,13.31
Chronosequence,GB-20170705-F-3L,GB,2,s2,3,B,2017,Fire,Establishment,R,12,,49.727046,-89.919259,GardenLakeB,Garden Lk B,5.75,427.57,13.31
Chronosequence,GB-20170705-F-1M,GB,2,s2,1,M,2017,Fire,Establishment,R,12,,49.727046,-89.919259,GardenLakeB,Garden Lk B,5.34,16.47,0.81
